【スキルプラス】日別データ,,,,,,,,,,,,
最終更新: 2026-02-22 07:42,,,,,,,,,,,,
,,,,,,,,,,,,
日付,大カテゴリ,集客媒体,ファネル名,集客数,個別予約数,実施数,売上,広告費,CPA,個別CPO,単月ROAS,単月LTV
2025-07-01,広告,リスティング広告,センサーズ,2,1,1,"¥50,000","¥15,497","¥7,749","¥15,497",3.2%,"¥25,000"
2025-07-01,広告,リスティング広告,スキルプラス,1,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-01,広告,YouTube広告,センサーズ,34,2,2,"¥2,980","¥40,768","¥1,199","¥20,384",0.1%,¥88
2025-07-01,広告,YouTube広告,AI,157,8,7,"¥68,140","¥435,072","¥2,771","¥54,384",0.2%,¥434
2025-07-01,広告,Meta広告,センサーズ,200,14,14,"¥2,468,960","¥559,626","¥2,798","¥39,973",4.4%,"¥12,345"
2025-07-01,広告,Meta広告,AI,253,18,18,"¥4,515,180","¥959,080","¥3,791","¥53,282",4.7%,"¥17,847"
2025-07-01,広告,Meta広告,アドプロ,4,1,1,¥0,"¥26,231","¥6,558","¥26,231",0.0%,¥0
2025-07-01,広告,Meta広告,直個別,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-01,広告,Meta広告,スキルプラス,5,0,0,¥0,"¥52,314","¥10,463",¥0,0.0%,¥0
2025-07-01,広告,TikTok広告,センサーズ,46,4,4,¥0,"¥198,661","¥4,319","¥49,665",0.0%,¥0
2025-07-01,広告,TikTok広告,AI,56,3,3,"¥58,940","¥199,953","¥3,571","¥66,651",0.3%,"¥1,053"
2025-07-01,広告,X広告,センサーズ,1,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-01,広告,X広告,AI,192,8,8,"¥30,660","¥224,449","¥1,169","¥28,056",0.1%,¥160
2025-07-01,広告,LINE広告,センサーズ,3,1,1,¥0,"¥6,593","¥2,198","¥6,593",0.0%,¥0
2025-07-01,広告,LINE広告,AI,1,0,0,¥0,"¥6,597","¥6,597",¥0,0.0%,¥0
2025-07-01,広告,アフィリエイト広告,スキルプラス,15,5,5,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-01,SNS,YouTube,みかみメイン,0,4,4,"¥798,000",¥0,¥0,¥0,0.0%,¥0
2025-07-01,SNS,YouTube,スキルプラス,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-01,SNS,X,みかみメイン,2,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-01,SNS,X,スキルプラス,2,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-01,SNS,Instagram,みかみメイン,8,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-01,SNS,TikTok,みかみメイン,2,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-01,SEO,ブランド検索,スキルプラス,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-01,SEO,一般検索,センサーズ,0,0,0,"¥12,780",¥0,¥0,¥0,0.0%,¥0
2025-07-01,SEO,一般検索,みかみメイン,3,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-01,広報,HP,スキルプラス,5,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-01,その他,その他,不明,0,3,3,"¥21,720",¥0,¥0,¥0,0.0%,¥0
2025-07-02,広告,リスティング広告,センサーズ,4,0,0,"¥50,000","¥23,564","¥5,891",¥0,2.1%,"¥12,500"
2025-07-02,広告,リスティング広告,スキルプラス,3,1,1,¥0,"¥5,781","¥1,927","¥5,781",0.0%,¥0
2025-07-02,広告,YouTube広告,センサーズ,1,4,4,"¥23,840","¥90,649","¥90,649","¥22,662",0.3%,"¥23,840"
2025-07-02,広告,YouTube広告,AI,203,5,5,"¥888,720","¥513,472","¥2,529","¥102,694",1.7%,"¥4,378"
2025-07-02,広告,Meta広告,センサーズ,216,9,9,"¥2,039,400","¥569,886","¥2,638","¥63,321",3.6%,"¥9,442"
2025-07-02,広告,Meta広告,AI,232,24,24,"¥2,266,996","¥856,789","¥3,693","¥35,700",2.7%,"¥9,772"
2025-07-02,広告,Meta広告,アドプロ,10,0,0,¥0,"¥40,817","¥4,082",¥0,0.0%,¥0
2025-07-02,広告,Meta広告,スキルプラス,3,3,3,¥0,"¥45,988","¥15,329","¥15,329",0.0%,¥0
2025-07-02,広告,TikTok広告,センサーズ,54,4,4,"¥587,376","¥176,271","¥3,264","¥44,068",3.3%,"¥10,877"
2025-07-02,広告,TikTok広告,AI,54,5,5,"¥25,560","¥211,833","¥3,923","¥42,367",0.1%,¥473
2025-07-02,広告,X広告,AI,138,9,9,"¥23,840","¥270,271","¥1,958","¥30,030",0.1%,¥173
2025-07-02,広告,LINE広告,センサーズ,5,0,0,"¥2,980","¥6,612","¥1,322",¥0,0.5%,¥596
2025-07-02,広告,LINE広告,AI,1,0,0,¥0,"¥6,590","¥6,590",¥0,0.0%,¥0
2025-07-02,広告,アフィリエイト広告,スキルプラス,11,3,3,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-02,SNS,YouTube,みかみメイン,0,0,0,"¥2,046,780",¥0,¥0,¥0,0.0%,¥0
2025-07-02,SNS,YouTube,スキルプラス,1,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-02,SNS,X,みかみメイン,6,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-02,SNS,X,スキルプラス,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-02,SNS,Instagram,みかみメイン,10,3,3,"¥2,980",¥0,¥0,¥0,0.0%,¥298
2025-07-02,SEO,一般検索,みかみメイン,1,2,2,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-02,広報,HP,スキルプラス,4,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-02,その他,その他,不明,0,3,3,"¥826,540",¥0,¥0,¥0,0.0%,¥0
2025-07-03,広告,リスティング広告,センサーズ,1,1,1,¥0,"¥19,801","¥19,801","¥19,801",0.0%,¥0
2025-07-03,広告,リスティング広告,スキルプラス,1,0,0,"¥181,944","¥5,721","¥5,721",¥0,31.8%,"¥181,944"
2025-07-03,広告,YouTube広告,センサーズ,28,0,0,¥0,"¥44,648","¥1,595",¥0,0.0%,¥0
2025-07-03,広告,YouTube広告,AI,240,5,5,"¥96,680","¥603,871","¥2,516","¥120,774",0.2%,¥403
2025-07-03,広告,Meta広告,センサーズ,211,9,9,"¥909,380","¥555,733","¥2,634","¥61,748",1.6%,"¥4,310"
2025-07-03,広告,Meta広告,AI,212,20,20,"¥3,606,960","¥808,685","¥3,815","¥40,434",4.5%,"¥17,014"
2025-07-03,広告,Meta広告,アドプロ,7,0,0,¥0,"¥33,104","¥4,729",¥0,0.0%,¥0
2025-07-03,広告,Meta広告,スキルプラス,2,2,2,¥0,"¥41,516","¥20,758","¥20,758",0.0%,¥0
2025-07-03,広告,TikTok広告,センサーズ,26,3,3,"¥71,720","¥173,256","¥6,664","¥57,752",0.4%,"¥2,758"
2025-07-03,広告,TikTok広告,AI,77,3,3,"¥8,940","¥253,652","¥3,294","¥84,551",0.0%,¥116
2025-07-03,広告,X広告,AI,169,12,12,"¥33,640","¥281,964","¥1,668","¥23,497",0.1%,¥199
2025-07-03,広告,LINE広告,センサーズ,5,0,0,¥0,"¥6,586","¥1,317",¥0,0.0%,¥0
2025-07-03,広告,LINE広告,AI,0,0,0,¥0,"¥6,601",¥0,¥0,0.0%,¥0
2025-07-03,広告,アフィリエイト広告,スキルプラス,9,2,2,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-03,SNS,YouTube,みかみメイン,0,2,2,"¥2,980",¥0,¥0,¥0,0.0%,¥0
2025-07-03,SNS,YouTube,スキルプラス,6,1,1,"¥2,980",¥0,¥0,¥0,0.0%,¥497
2025-07-03,SNS,X,みかみメイン,2,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-03,SNS,X,スキルプラス,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-03,SNS,Instagram,みかみメイン,2,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-03,SNS,Instagram,スキルプラス,0,2,2,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-03,SNS,TikTok,みかみメイン,2,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-03,SEO,ブランド検索,スキルプラス,0,2,2,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-03,SEO,一般検索,みかみメイン,4,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-03,広報,HP,スキルプラス,9,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-03,その他,その他,不明,0,3,3,"¥18,740",¥0,¥0,¥0,0.0%,¥0
2025-07-04,広告,リスティング広告,センサーズ,1,0,0,¥0,"¥15,979","¥15,979",¥0,0.0%,¥0
2025-07-04,広告,リスティング広告,スキルプラス,0,0,0,¥0,"¥4,948",¥0,¥0,0.0%,¥0
2025-07-04,広告,YouTube広告,センサーズ,71,1,1,"¥27,680","¥93,568","¥1,318","¥93,568",0.3%,¥390
2025-07-04,広告,YouTube広告,AI,244,13,13,"¥1,899,124","¥734,441","¥3,010","¥56,495",2.6%,"¥7,783"
2025-07-04,広告,Meta広告,センサーズ,188,17,17,"¥2,754,108","¥545,208","¥2,900","¥32,071",5.1%,"¥14,650"
2025-07-04,広告,Meta広告,AI,197,16,16,"¥954,740","¥745,994","¥3,787","¥46,625",1.3%,"¥4,846"
2025-07-04,広告,Meta広告,アドプロ,3,1,1,¥0,"¥23,633","¥7,878","¥23,633",0.0%,¥0
2025-07-04,広告,Meta広告,スキルプラス,1,0,0,¥0,"¥34,017","¥34,017",¥0,0.0%,¥0
2025-07-04,広告,TikTok広告,センサーズ,53,2,2,"¥454,420","¥277,919","¥5,244","¥138,960",1.6%,"¥8,574"
2025-07-04,広告,TikTok広告,AI,79,2,2,"¥1,617,720","¥256,094","¥3,242","¥128,047",6.3%,"¥20,477"
2025-07-04,広告,X広告,AI,163,10,10,"¥100,520","¥344,882","¥2,116","¥34,488",0.3%,¥617
2025-07-04,広告,LINE広告,センサーズ,9,0,0,"¥2,980","¥13,184","¥1,465",¥0,0.2%,¥331
2025-07-04,広告,LINE広告,AI,0,0,0,¥0,"¥1,736",¥0,¥0,0.0%,¥0
2025-07-04,広告,アフィリエイト広告,スキルプラス,4,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-04,SNS,YouTube,みかみメイン,0,1,1,"¥415,760",¥0,¥0,¥0,0.0%,¥0
2025-07-04,SNS,YouTube,スキルプラス,5,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-04,SNS,X,みかみメイン,4,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-04,SNS,Instagram,みかみメイン,13,1,1,"¥269,496",¥0,¥0,¥0,0.0%,"¥20,730"
2025-07-04,SNS,Instagram,スキルプラス,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-04,SNS,Threads,みかみメイン,0,0,0,"¥798,000",¥0,¥0,¥0,0.0%,¥0
2025-07-04,SNS,TikTok,みかみメイン,3,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-04,SEO,ブランド検索,スキルプラス,0,2,2,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-04,SEO,一般検索,みかみメイン,2,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-04,広報,HP,スキルプラス,7,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-04,その他,その他,不明,0,7,7,"¥3,279,980",¥0,¥0,¥0,0.0%,¥0
2025-07-05,広告,リスティング広告,センサーズ,2,2,2,¥0,"¥17,929","¥8,965","¥8,965",0.0%,¥0
2025-07-05,広告,リスティング広告,スキルプラス,4,0,0,¥0,"¥6,921","¥1,730",¥0,0.0%,¥0
2025-07-05,広告,YouTube広告,センサーズ,27,1,1,¥0,"¥52,044","¥1,928","¥52,044",0.0%,¥0
2025-07-05,広告,YouTube広告,AI,191,8,8,"¥103,500","¥590,603","¥3,092","¥73,825",0.2%,¥542
2025-07-05,広告,Meta広告,センサーズ,196,10,10,"¥83,900","¥514,560","¥2,625","¥51,456",0.2%,¥428
2025-07-05,広告,Meta広告,AI,224,16,16,"¥2,545,840","¥742,394","¥3,314","¥46,400",3.4%,"¥11,365"
2025-07-05,広告,Meta広告,アドプロ,4,0,0,¥0,"¥13,239","¥3,310",¥0,0.0%,¥0
2025-07-05,広告,Meta広告,スキルプラス,2,0,0,¥0,"¥37,469","¥18,735",¥0,0.0%,¥0
2025-07-05,広告,TikTok広告,センサーズ,63,4,4,"¥15,760","¥280,444","¥4,451","¥70,111",0.1%,¥250
2025-07-05,広告,TikTok広告,AI,84,6,6,"¥1,991,920","¥234,062","¥2,786","¥39,010",8.5%,"¥23,713"
2025-07-05,広告,X広告,AI,187,4,4,"¥138,860","¥411,011","¥2,198","¥102,753",0.3%,¥743
2025-07-05,広告,LINE広告,センサーズ,2,0,0,¥0,"¥13,186","¥6,593",¥0,0.0%,¥0
2025-07-05,広告,LINE広告,スキルプラス,1,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-05,広告,アフィリエイト広告,スキルプラス,8,2,2,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-05,SNS,YouTube,みかみメイン,0,5,5,"¥103,524",¥0,¥0,¥0,0.0%,¥0
2025-07-05,SNS,YouTube,スキルプラス,4,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-05,SNS,X,みかみメイン,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-05,SNS,X,スキルプラス,1,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-05,SNS,Instagram,みかみメイン,10,0,0,"¥12,780",¥0,¥0,¥0,0.0%,"¥1,278"
2025-07-05,SNS,Instagram,スキルプラス,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-05,SNS,Threads,みかみメイン,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-05,SNS,TikTok,みかみメイン,1,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-05,SEO,一般検索,みかみメイン,2,0,0,"¥798,000",¥0,¥0,¥0,0.0%,"¥399,000"
2025-07-05,広報,HP,スキルプラス,3,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-05,その他,その他,不明,0,8,8,"¥2,980",¥0,¥0,¥0,0.0%,¥0
2025-07-06,広告,リスティング広告,センサーズ,3,0,0,¥0,"¥17,202","¥5,734",¥0,0.0%,¥0
2025-07-06,広告,リスティング広告,スキルプラス,0,0,0,¥0,"¥6,745",¥0,¥0,0.0%,¥0
2025-07-06,広告,YouTube広告,センサーズ,4,0,0,"¥200,000","¥50,419","¥12,605",¥0,4.0%,"¥50,000"
2025-07-06,広告,YouTube広告,AI,226,9,9,"¥894,680","¥531,231","¥2,351","¥59,026",1.7%,"¥3,959"
2025-07-06,広告,Meta広告,センサーズ,192,8,8,"¥1,724,200","¥549,842","¥2,864","¥68,730",3.1%,"¥8,980"
2025-07-06,広告,Meta広告,AI,198,19,19,"¥6,327,260","¥767,523","¥3,876","¥40,396",8.2%,"¥31,956"
2025-07-06,広告,Meta広告,アドプロ,3,0,0,¥0,"¥13,952","¥4,651",¥0,0.0%,¥0
2025-07-06,広告,Meta広告,スキルプラス,6,2,2,¥0,"¥59,478","¥9,913","¥29,739",0.0%,¥0
2025-07-06,広告,TikTok広告,センサーズ,74,4,4,"¥21,720","¥205,081","¥2,771","¥51,270",0.1%,¥294
2025-07-06,広告,TikTok広告,AI,42,0,0,"¥34,500","¥154,723","¥3,684",¥0,0.2%,¥821
2025-07-06,広告,X広告,センサーズ,15,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-06,広告,X広告,AI,168,12,12,"¥611,300","¥516,680","¥3,075","¥43,057",1.2%,"¥3,639"
2025-07-06,広告,LINE広告,センサーズ,5,0,0,¥0,"¥13,204","¥2,641",¥0,0.0%,¥0
2025-07-06,広告,LINE広告,AI,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-06,広告,アフィリエイト広告,スキルプラス,5,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-06,SNS,YouTube,みかみメイン,0,2,2,"¥12,780",¥0,¥0,¥0,0.0%,¥0
2025-07-06,SNS,YouTube,スキルプラス,5,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-06,SNS,X,みかみメイン,0,2,2,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-06,SNS,X,スキルプラス,1,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-06,SNS,Instagram,みかみメイン,6,2,2,"¥798,000",¥0,¥0,¥0,0.0%,"¥133,000"
2025-07-06,SNS,Instagram,スキルプラス,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-06,SNS,Threads,みかみメイン,7,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-06,SNS,TikTok,みかみメイン,1,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-06,SEO,一般検索,みかみメイン,3,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-06,広報,HP,スキルプラス,8,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-06,その他,note,スキルプラス,1,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-06,その他,その他,不明,0,7,7,"¥1,998,740",¥0,¥0,¥0,0.0%,¥0
2025-07-07,広告,リスティング広告,センサーズ,1,1,1,¥0,"¥27,278","¥27,278","¥27,278",0.0%,¥0
2025-07-07,広告,リスティング広告,スキルプラス,0,0,0,¥0,"¥5,918",¥0,¥0,0.0%,¥0
2025-07-07,広告,YouTube広告,センサーズ,6,1,1,¥0,"¥10,377","¥1,730","¥10,377",0.0%,¥0
2025-07-07,広告,YouTube広告,AI,143,6,6,"¥65,160","¥394,772","¥2,761","¥65,795",0.2%,¥456
2025-07-07,広告,Meta広告,センサーズ,208,11,11,"¥975,200","¥492,655","¥2,369","¥44,787",2.0%,"¥4,688"
2025-07-07,広告,Meta広告,AI,190,17,17,"¥2,353,604","¥686,809","¥3,615","¥40,401",3.4%,"¥12,387"
2025-07-07,広告,Meta広告,アドプロ,3,0,0,¥0,"¥12,307","¥4,102",¥0,0.0%,¥0
2025-07-07,広告,Meta広告,スキルプラス,6,2,2,¥0,"¥52,121","¥8,687","¥26,061",0.0%,¥0
2025-07-07,広告,TikTok広告,センサーズ,68,2,2,¥0,"¥257,491","¥3,787","¥128,746",0.0%,¥0
2025-07-07,広告,TikTok広告,AI,52,1,1,"¥839,120","¥178,958","¥3,442","¥178,958",4.7%,"¥16,137"
2025-07-07,広告,X広告,センサーズ,23,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-07,広告,X広告,AI,133,12,12,"¥1,841,020","¥382,883","¥2,879","¥31,907",4.8%,"¥13,842"
2025-07-07,広告,LINE広告,センサーズ,11,0,0,"¥2,980","¥13,280","¥1,207",¥0,0.2%,¥271
2025-07-07,広告,LINE広告,AI,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-07,広告,アフィリエイト広告,スキルプラス,7,2,2,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-07,SNS,YouTube,みかみメイン,7,1,1,"¥12,780",¥0,¥0,¥0,0.0%,"¥1,826"
2025-07-07,SNS,X,みかみメイン,2,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-07,SNS,Instagram,みかみメイン,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-07,SNS,Instagram,スキルプラス,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-07,SNS,Threads,みかみメイン,3,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-07,SEO,ブランド検索,スキルプラス,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-07,広報,HP,スキルプラス,3,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-07,その他,その他,不明,0,8,8,"¥1,557,228",¥0,¥0,¥0,0.0%,¥0
2025-07-08,広告,リスティング広告,センサーズ,1,1,1,¥0,"¥8,774","¥8,774","¥8,774",0.0%,¥0
2025-07-08,広告,リスティング広告,スキルプラス,1,0,0,¥0,"¥7,960","¥7,960",¥0,0.0%,¥0
2025-07-08,広告,YouTube広告,センサーズ,5,0,0,"¥788,000","¥12,529","¥2,506",¥0,62.9%,"¥157,600"
2025-07-08,広告,YouTube広告,AI,90,7,7,"¥323,264","¥218,513","¥2,428","¥31,216",1.5%,"¥3,592"
2025-07-08,広告,Meta広告,センサーズ,205,8,8,"¥662,988","¥500,852","¥2,443","¥62,607",1.3%,"¥3,234"
2025-07-08,広告,Meta広告,AI,205,20,20,"¥2,076,544","¥657,716","¥3,208","¥32,886",3.2%,"¥10,129"
2025-07-08,広告,Meta広告,アドプロ,2,0,0,¥0,"¥11,956","¥5,978",¥0,0.0%,¥0
2025-07-08,広告,Meta広告,スキルプラス,2,0,0,¥0,"¥83,500","¥41,750",¥0,0.0%,¥0
2025-07-08,広告,TikTok広告,センサーズ,46,3,3,"¥102,980","¥120,014","¥2,609","¥40,005",0.9%,"¥2,239"
2025-07-08,広告,TikTok広告,AI,22,3,3,"¥62,780","¥24,050","¥1,093","¥8,017",2.6%,"¥2,854"
2025-07-08,広告,X広告,センサーズ,9,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-08,広告,X広告,AI,134,9,9,"¥1,839,440","¥434,834","¥3,245","¥48,315",4.2%,"¥13,727"
2025-07-08,広告,X広告,スキルプラス,1,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-08,広告,LINE広告,センサーズ,9,0,0,¥0,"¥16,501","¥1,833",¥0,0.0%,¥0
2025-07-08,広告,アフィリエイト広告,スキルプラス,5,3,3,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-08,SNS,YouTube,みかみメイン,18,4,4,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-08,SNS,YouTube,スキルプラス,2,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-08,SNS,X,みかみメイン,6,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-08,SNS,Instagram,みかみメイン,6,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-08,SNS,Threads,みかみメイン,1,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-08,SNS,TikTok,みかみメイン,2,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-08,SEO,ブランド検索,スキルプラス,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-08,SEO,一般検索,みかみメイン,1,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-08,広報,HP,スキルプラス,7,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-08,その他,その他,不明,0,10,10,"¥3,040,820",¥0,¥0,¥0,0.0%,¥0
2025-07-09,広告,リスティング広告,センサーズ,1,0,0,¥0,"¥9,527","¥9,527",¥0,0.0%,¥0
2025-07-09,広告,リスティング広告,スキルプラス,1,0,0,¥0,"¥5,643","¥5,643",¥0,0.0%,¥0
2025-07-09,広告,YouTube広告,センサーズ,2,1,1,"¥1,182,000","¥31,406","¥15,703","¥31,406",37.6%,"¥591,000"
2025-07-09,広告,YouTube広告,AI,58,7,7,"¥40,460","¥207,117","¥3,571","¥29,588",0.2%,¥698
2025-07-09,広告,Meta広告,センサーズ,232,10,10,"¥95,420","¥565,316","¥2,437","¥56,532",0.2%,¥411
2025-07-09,広告,Meta広告,AI,194,11,11,"¥1,860,100","¥687,673","¥3,545","¥62,516",2.7%,"¥9,588"
2025-07-09,広告,Meta広告,アドプロ,6,0,0,¥0,"¥12,132","¥2,022",¥0,0.0%,¥0
2025-07-09,広告,Meta広告,スキルプラス,6,0,0,¥0,"¥77,462","¥12,910",¥0,0.0%,¥0
2025-07-09,広告,TikTok広告,センサーズ,56,2,2,"¥500,000","¥124,808","¥2,229","¥62,404",4.0%,"¥8,929"
2025-07-09,広告,TikTok広告,AI,19,0,0,¥0,"¥37,343","¥1,965",¥0,0.0%,¥0
2025-07-09,広告,X広告,センサーズ,19,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-09,広告,X広告,AI,151,8,8,"¥924,080","¥519,912","¥3,443","¥64,989",1.8%,"¥6,120"
2025-07-09,広告,LINE広告,センサーズ,1,1,1,¥0,"¥14,149","¥14,149","¥14,149",0.0%,¥0
2025-07-09,広告,LINE広告,AI,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-09,広告,アフィリエイト広告,スキルプラス,3,2,2,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-09,SNS,YouTube,みかみメイン,89,7,7,"¥5,960",¥0,¥0,¥0,0.0%,¥67
2025-07-09,SNS,YouTube,スキルプラス,1,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-09,SNS,X,みかみメイン,5,0,0,"¥798,000",¥0,¥0,¥0,0.0%,"¥159,600"
2025-07-09,SNS,Instagram,スキルプラス,0,0,0,"¥100,000",¥0,¥0,¥0,0.0%,¥0
2025-07-09,SNS,Threads,みかみメイン,2,0,0,¥0,¥0,¥0,¥0,0.0%,¥0
2025-07-09,SNS,TikTok,みかみメイン,2,0,0,"¥2,980",¥0,¥0,¥0,0.0%,"¥1,490"
2025-07-09,SEO,ブランド検索,スキルプラス,0,1,1,¥0,¥0,¥0,¥0,0.0%,¥0
