対象日付,CSVダウンロードタイプ,投入日時,ステータス
2025-07-01,2025-07-01_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-02,2025-07-02_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-03,2025-07-03_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-04,2025-07-04_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-05,2025-07-05_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-06,2025-07-06_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-07,2025-07-07_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-08,2025-07-08_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-09,2025-07-09_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-10,2025-07-10_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-11,2025-07-11_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-12,2025-07-12_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-13,2025-07-13_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-14,2025-07-14_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-15,2025-07-15_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-16,2025-07-16_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-17,2025-07-17_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-18,2025-07-18_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-19,2025-07-19_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-20,2025-07-20_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-21,2025-07-21_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-22,2025-07-22_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-23,2025-07-23_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-24,2025-07-24_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-25,2025-07-25_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-26,2025-07-26_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-27,2025-07-27_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
2025-07-28,2025-07-28_アドネス全体数値_媒体・ファネル別データ_表.csv,2026-02-22 07:10,完了
